trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-44.146947551023366,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-67.2512823513972,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-134.74737987716887,"{0: 23, 1: 5, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-67.7433768393545,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-119.79456746982301,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-29.89171865542678,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-171.5486842297176,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-48.746830887380945,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-152.25235365673012,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,13,-67.96748507280681,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,14,-73.30312823268555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-27.177403763695004,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-47.38036511349971,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,1,4.78726057321972,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-39.43301842184771,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
