trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.51528484138424,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999988750002109}",20,0,-30.396781659552815,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-186.26610572864342,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999898750170859}",20,1,-31.73501786882041,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-57.15679702360729,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999718751318357}",35,0,-212.71897403788148,"{0: 17, 1: 6, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-125.21736393817396,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.999944875506459}",20,0,-39.9898966537636,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-126.78662699589462,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999088763839525}",20,0,-44.08588932140901,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-188.8842052705901,"{0: 9, 1: 2, 2: 3, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9998638780883079}",20,0,-117.29691342148462,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9998380043739528}",25,0,-79.50938317040544,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9998098810245096}",25,0,-114.9708227886317,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9997795081032559}",25,0,-177.6762933260079,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9997468856785308}",30,0,-183.82056319413772,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,3,-89.9961003773904,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9996748926173291}",30,0,-187.61304339757262,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.9996355221428369}",25,0,-154.3242580333032,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9995939024888416}",25,0,-117.5609655492013,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-110.39808691742344,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9995039160219791}",25,0,-144.52356123939347,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9994555494115813}",25,8,-172.75197118769097,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 4}",1
24,False,"{'a': 0.5, 'e': 0.999404934026619}",25,0,-70.0221408981069,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,0,-125.39344820878074,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9992969573935987}",30,2,-113.69524367721154,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-50.75385447848816,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.999179987094707}",20,11,-19.80882846783729,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-146.1750497816944,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.999054024182676}",35,0,-140.84818561936544,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,6,-36.154923085138215,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.9989190697911708}",20,0,-116.44411439743189,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9988482211670138}",25,0,-191.76318424352615,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9987751251347804}",20,0,-103.61698565733691,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,0,-28.36137319777698,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9986221915090054}",20,0,-127.57094669256405,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
